No.,domain,name
295,sytu.edu.cn,Southern Yangtze University
296,syu.edu.cn,Shenyang University
297,szu.edu.cn,Shenzhen University
298,tijmu.edu.cn,Tianjin Medical University
299,tjarts.edu.cn,Tianjin Academy of Fine Art
300,tjcu.edu.cn,Tianjin University of Commerce
301,tjmu.edu.cn,Tongji Medical University
302,tjnu.edu.cn,Tianjin Normal University
303,tjpu.edu.cn,Tianjin Polytechnic University
304,tjrtvu.edu.cn,Tianjin Open University
305,tju.edu.cn,Tianjin University
306,tjufe.edu.cn,Tianjin University of Finance & Economics
307,tjut.edu.cn,Tianjin University of Technology
308,tmmu.edu.cn,3rd Military Medical University
309,tongji.edu.cn,Tongji University
310,tsinghua.edu.cn,Tsinghua University
311,ttmc.edu.cn,Tibet Tibetan Medical College
312,tyut.edu.cn,Taiyuan University of Technology
313,tzc.edu.cn,Taizhou College
314,uestc.edu.cn,University of Electronic Science and Technology of China
315,uheeyc.edu.cn,University of Hydraulic Electric Engineering
316,uibe.edu.cn,University of International Business and Economics
317,ujn.edu.cn,University of Jinan
318,umcollege.com,Shanghai City College
319,usc.edu.cn,South China University
320,usst.edu.cn,Shanghai University of Science and Technology
321,ustb.edu.cn,Beijing University of Science and Technology
322,ustb.edu.cn,University of Science and Technology Beijing
323,ustc.edu.cn,University of Science and Technology of China
324,utibet.edu.cn,Tibet University
325,uvu.edu.cn,Urumqi Vocational University
326,wcums.edu.cn,West China University of Medical Sciences
327,wdsdjxy.com,Wudanshan Taoist College
328,whapu.edu.cn,Wuhan Automobile Polytechnical University
329,whtu.edu.cn,Wuhan Transportation University
330,whu.edu.cn,Wuhan University
331,whut.edu.cn,Wuhan University of Technology
332,wsm.whu.edu.cn,Wuhan University School of Medicine
333,wtusm.edu.cn,Wuhan Technical University of Surveying and Mapping
334,wuhee.edu.cn,Wuhan University of Hydraulic and Electric Engineering
335,wxuli.edu.cn,Wuxi University of Light Industry
336,wyu.edu.cn,Wuyi University
337,wzmu.net,Wenzhou Medical College
338,wzu.edu.cn,Wenzhou University
339,xafa.edu.cn,Xi'an Academy of Fine Art
340,xahu.edu.cn,Xi'an Highway University
341,xauat.edu.cn,Xi'an University of Architecture and Technology
342,xaut.edu.cn,Xi'an University of Technology
343,xhcom.edu.cn,Xinghai Conservatory of Music
344,xidian.edu.cn,Xi'an University of Electronic Science and Technology
345,xiju.edu.cn,Xijiang University
346,xisu.edu.cn,Xi'an International Studies University
347,xjau.edu.cn,Xinjiang Agriculture University
348,xjnu.edu.cn,Xinjiang Normal University
349,xjtlu.edu.cn,Xi'an Jiaotong-Liverpool University
350,eurasia.edu,Xi'an Eurasia University
351,xjtu.edu.cn,Xi'an Jiaotong University
352,xju.edu.cn,Xinjiang University
353,xjufe.edu.cn,Xinjiang University of Finance and Economics
354,xmu.edu.cn,Xiamen University
355,xtnu.edu.cn,Xiangtan Normal University
356,xtu.edu.cn,Xiangtan University
357,xza.cn,Tibet Agricultural and Animal Husbandry College
358,xzmy.edu.cn,Tibet University of Nationalities
359,xznu.edu.cn,Xuzhou Normal University
360,yangtzeu.edu.cn,Yangtze University
361,yau.edu.cn,Yan'an University
362,ybu.edu.cn,Yanbian University
363,ybust.edu.cn,Yanbian University of Science and Technology
364,yizhuan.com,Huaihua Medical College
365,ynau.edu.cn,Yunnan Agriculture University
366,ynnu.edu.cn,Yunnan Normal University
367,ynu.edu.cn,Yunnan University
368,ysu.edu.cn,Yan Shan University
369,ytet.edu.cn,Yantai Education Institute & Yantai Television University
370,ytnc.edu.cn,Ludong University
371,ytu.edu.cn,Yantai University
372,yznu.cn,Yangtze Normal University
373,yzu.edu.cn,Yangzhou University
374,zdsoft.com.cn,Zhengda Software College
375,zgfxy.cn,Buddhist Acamedy of China
376,zhnut.edu.cn,Zhongnan University of Technology
377,zjfc.edu.cn,Zhejiang Forestry University
378,zjgsu.edu.cn,Zhejiang Gongshang University
379,zjnu.edu.cn,Zhejiang Normal University
380,zjou.edu.cn,Zhanjiang Ocean University
381,zju.edu.cn,Zhejiang University
382,zjut.edu.cn,Zhejiang University of Technology
383,znuel.net,Zhongnan University of Economics and Law
384,znufe.edu.cn,Zhongnan University of Finance and Economics
385,zsb.scfai.edu.cn,Sichuan Fine Art Institute
386,zstu.edu.cn,Zhejiang Sci-Tech University
387,zsu.edu.cn,Zhongshan University
388,zzgc.edu.cn,Zhengzhou Grain University
389,zzut.edu.cn,Zhengzhou University of Technology
390,cust.edu.cn & ieec.cust.edu.cn,Changchun University of Science and Technology
391,stu.gcu.edu.cn,Guangzhou College of South China University of Technology
392,xhu.edu.cn & stu.xhu.edu.cn & mail.xhu.edu.cn,Xihua University
393,nuist.edu.cn,Nanjing University of Information Science and Technology
394,lynu.edu.cn,Luoyang Normal University
395,hbc.edu.cn,Hubei Business College
